BIRTH_DATE,FIRST_ENTERED_US,FIRST_NAME,GENDER,LAST_NAME,MIDDLE_NAME,SSID,STUDENT_ID,id
1/24/1335,01-APR-92 12.00.00.000000000 AM,Reilly,n,Moneypenny,Zakharovich,0x2e1086b10x5c210d62,768317,70664
10/22/2349,08-AUG-98 12.00.00.000000000 AM,Thauron,n,Naumann,Stihl,0x29b606710x536c0ce2,956717,15100
4/7/1343,14-JUN-05 12.00.00.000000000 AM,Wylie,f,Schweitzer,Shadd,0x1e6cf5df0x3cd9ebbe,571059,108048
6/12/2518,15-AUG-11 12.00.00.000000000 AM,Aalauhna,n,Zieseniss,Gardner,0x294b543f0x5296a87e,652265,26750
10/27/2698,22-NOV-13 12.00.00.000000000 AM,Spear,m,Corrales Alvarez,Elaine Nicole,0x1f0579320x3e0af264,305727,97636
6/22/2535,25-JUL-95 12.00.00.000000000 AM,Ransom,f,Stoutsenberger,Radlee,0x1dcd12770x3b9a24ee,634454,54286
8/17/1532,14-JUN-96 12.00.00.000000000 AM,Ithzel,f,Praveenkumar,Tomoki,0xc12d3550x1825a6aa,292309,15672
11/19/1743,01-APR-05 12.00.00.000000000 AM,Ean,f,Hoda,Conlin,0x8df8fd20x11bf1fa4,232139569,123896
6/15/1580,06-JUN-89 12.00.00.000000000 AM,Kaleio,m,Fleszar-Ball,Mackenzi,0x355486240x6aa90c48,414321,50730
2/11/2986,11-NOV-02 12.00.00.000000000 AM,Avea,n,Fogarty,Abdulrazzaq,0x2a396fdf0x5472dfbe,601729,103427
10/17/1613,01-JAN-96 12.00.00.000000000 AM,Loyalty,m,Mughadi,Veda,0x365397bb0x6ca72f76,6666355,32013
8/10/1948,22-MAR-07 12.00.00.000000000 AM,Timon,f,Givens,Merci,0x2fea10b30x5fd42166,922132,45045
11/1/1989,01-APR-99 12.00.00.000000000 AM,Tevyn,n,Chichoni,Alexander Jibrael,0xc8071bc0x1900e378,713105,86774
6/22/2831,30-JAN-03 12.00.00.000000000 AM,A'zlynn,n,Zavala Corrales,Jonas,0x1bcea00b0x379d4016,788630597,25798
7/22/2695,28-AUG-01 12.00.00.000000000 AM,Nyagaw,n,Leavitt,Dimee,0x30b330190x61666032,975071,133564
10/27/2338,29-SEP-10 12.00.00.000000000 AM,DaJonna,m,Juarez Lopez,Timmy,0xb2a8ad10x165515a2,884468,119288
9/26/2846,26-SEP-12 12.00.00.000000000 AM,Braxlee,f,Passey,Roc,0x169d76b10x2d3aed62,922218,114903
5/5/2949,17-SEP-12 12.00.00.000000000 AM,Christopher Axle,m,Antigua,Lorie,0x1669b6f10x2cd36de2,727552,31771
4/26/2884,25-SEP-15 12.00.00.000000000 AM,Zavenda,f,Montilla Briseno,Alayna,0x6df64400xdbec880,993836,136389
8/13/2376,04-MAR-91 12.00.00.000000000 AM,Marce,m,Kranendonk,Malachi,0x36105cd70x6c20b9ae,847943,79318
7/26/2032,07-JAN-04 12.00.00.000000000 AM,Braylin,f,Hidalgo,Semisi,0xdfdb1750x1bfb62ea,437463,22216
10/27/2921,05-APR-10 12.00.00.000000000 AM,Swazey,m,Soukup,Ari,0x1438614c0x2870c298,503979,54795
6/12/2176,20-AUG-03 12.00.00.000000000 AM,Tayzen,n,Coho,Libertad,0x2a20879e0x54410f3c,755575,109960
5/25/1552,26-AUG-04 12.00.00.000000000 AM,Kinnley,m,Dishong,Mariee Alexis,0x2553e95c0x4aa7d2b8,738824,48963
2/22/2098,01-MAY-07 12.00.00.000000000 AM,Coltrick,f,Maki,Michael Kane,0x294d27770x529a4eee,939704836,136475
9/25/2472,21-JUN-17 12.00.00.000000000 AM,Teihana,f,Lazo-Hernandez,F,0x305d03240x60ba0648,517952,136070
10/9/1779,22-APR-05 12.00.00.000000000 AM,Landon,f,Cardenas-Ledezma,Ashkii,0x2f9d1da10x5f3a3b42,957022,100916
1/2/2677,01-AUG-11 12.00.00.000000000 AM,Amarah,m,Rodriguez Bido,Brittany,0x2c72985a0x58e530b4,534257,73663
4/10/2782,23-AUG-94 12.00.00.000000000 AM,Elimar,f,Frette,Tetsubo,0xf109d260x1e213a4c,621516,39087
5/1/1757,14-JUL-15 12.00.00.000000000 AM,Treigh,f,Enochs,Jacalene,0x16d169b70x2da2d36e,988502,45585
7/10/1944,01-APR-04 12.00.00.000000000 AM,Camryn,n,Gameren,Addyline,0x16231fa50x2c463f4a,424244,6984
1/19/1241,03-SEP-03 12.00.00.000000000 AM,Kentley,n,Gillum,Marston,0x36ec67ab0x6dd8cf56,728138,116130
2/21/1725,27-SEP-01 12.00.00.000000000 AM,Adair,f,Ahlin,Joleen,0x816631a0x102cc634,593738,1930
2/14/1847,25-MAY-00 12.00.00.000000000 AM,Jaed,m,Monell,Hyrum,0x2525182d0x4a4a305a,998679939,9722
10/19/2156,23-AUG-00 12.00.00.000000000 AM,RickyRay,n,Gibson-Caudle,Chuck,0x35f3ace30x6be759c6,423177111,73406
11/3/2784,01-JAN-17 12.00.00.000000000 AM,Nkemdirim,m,Yaskov,Wei,0x76765e10xececbc2,839634,93466
10/13/2649,16-FEB-05 12.00.00.000000000 AM,Quinnten,m,Hillin,Georgia Lavinia,0x2940242d0x5280485a,899139755,77040
5/23/2162,24-SEP-04 12.00.00.000000000 AM,Meletaiana,f,Rougeau,Jacob Jaxon,0x3a8f866a0x751f0cd4,862925,95199
7/24/2721,29-AUG-94 12.00.00.000000000 AM,Kaysia,m,Morales Gonzales,Alta Loraine,0xf430b5c0x1e8616b8,913628,147418
7/19/1622,15-APR-05 12.00.00.000000000 AM,Huntington,m,Garcia-Rivera,James Kirk,0x10a544e30x214a89c6,364259,40030
3/16/2166,30-SEP-89 12.00.00.000000000 AM,Savino,n,Everson,Barnabas,0x114aa7c30x22954f86,298345,41707
8/24/1278,13-AUG-16 12.00.00.000000000 AM,Auni,f,Heckman,Tikona,0x324e37a20x649c6f44,986819,78918
3/14/2274,15-AUG-16 12.00.00.000000000 AM,Antjuan,f,Fredrickson,Thanos,0x1333f6940x2667ed28,816636,110495
8/4/1322,04-JUN-07 12.00.00.000000000 AM,Vanbiak,f,Woodhead,Shurtleff-Hatch,0x1319aa640x263354c8,469941,104338
4/7/1734,11-SEP-08 12.00.00.000000000 AM,Havyn,f,Reilly,Griselda,0x1d0e7d540x3a1cfaa8,919593,118956
4/26/2779,23-MAR-96 12.00.00.000000000 AM,Gerardo Arturo,m,Christian,LiliulnaUaAoaoina Doreen,0xa4654a20x148ca944,36055688,147103
6/1/2242,05-JAN-15 12.00.00.000000000 AM,Addysen,n,London,Michael Kruz,0x230b30db0x461661b6,248821,43039
1/19/2499,08-AUG-98 12.00.00.000000000 AM,Pita,n,Natividad,Brek,0x383a27b80x70744f70,440845,115758
5/4/2121,11-NOV-95 12.00.00.000000000 AM,Aisa,f,Moffat Martinez,Doyle,0x10baff890x2175ff12,744703507,73672
11/22/1438,21-NOV-16 12.00.00.000000000 AM,Lorraine,f,Feragen Lopez,LeeRyenne,0x14ab973d0x29572e7a,522291,44414
9/10/1699,26-SEP-06 12.00.00.000000000 AM,LylaRae,m,Donjuan,Grace Faith,0x234758ce0x468eb19c,642866,53002
4/2/2177,06-APR-06 12.00.00.000000000 AM,Naleah,n,Underly,Wolsey,0x1656885a0x2cad10b4,803121,130223
2/19/1390,28-MAY-03 12.00.00.000000000 AM,Danya,f,Dozudic,Hauser,0x2c2dd1660x585ba2cc,328916,120332
2/27/1700,13-JAN-15 12.00.00.000000000 AM,Kahaya,f,Reynaga Garcia,Blu,0x382c6d510x7058daa2,449370,24605
9/4/1976,23-JAN-06 12.00.00.000000000 AM,Kavan,n,Burdakova,Ahmednur,0x764e8b60xec9d16c,630148811,76371
2/24/1957,22-AUG-16 12.00.00.000000000 AM,Jadiel,f,Mercado Montiel,Arrington,0x118b190f0x2316321e,414014,47672
11/18/2547,24-MAY-87 12.00.00.000000000 AM,Ephriam,m,Casas,Lilyani Faith,0x73677db0xe6cefb6,265177,122912
9/19/2430,05-OCT-88 12.00.00.000000000 AM,Veleveni,m,Johannessen,Tu'imeleke,0x1019fca90x2033f952,490564,9124
11/18/1471,01-JUL-88 12.00.00.000000000 AM,Emony Marie,m,Fiscus,Anna Mae,0x1c2f65320x385eca64,780274,110398
9/9/1663,28-FEB-01 12.00.00.000000000 AM,Oshynn,n,Wenzel,Kera,0xb3117870x16622f0e,755559,138331
6/25/1271,09-JAN-06 12.00.00.000000000 AM,Devynn,n,Funez,Brynlee,0x1868f3dc0x30d1e7b8,333792,140333
7/7/1995,01-FEB-04 12.00.00.000000000 AM,Tava,m,Quiggle,Clyde Lee,0x2f6b73880x5ed6e710,890952,140944
1/4/1261,25-DEC-04 12.00.00.000000000 AM,Hazlim,m,Belnap,Hollister,0x2e3166cc0x5c62cd98,898177,50640
11/5/1968,07-OCT-14 12.00.00.000000000 AM,Cassie,f,Valdez Molina,Artemio,0x1a5e53f40x34bca7e8,911463,100358
2/16/1895,28-SEP-95 12.00.00.000000000 AM,Elly,n,Posch,Jence,0x13698fe20x26d31fc4,329517,54967
4/25/1737,06-SEP-07 12.00.00.000000000 AM,Meshari,m,Bollinger,Michiru,0x292d01f30x525a03e6,583081,82183
8/24/2754,10-AUG-01 12.00.00.000000000 AM,Atira,f,Gussler,ElRay,0xbf1cb5b0x17e396b6,758143,74266
7/18/1246,15-MAR-98 12.00.00.000000000 AM,Grant,n,Goring,Hashke Bit'ahnii,0x1575e7f80x2aebcff0,773998,54461
11/17/2146,10-FEB-15 12.00.00.000000000 AM,Maizey,f,Israelsen,Zorel,0x20b4ce950x41699d2a,411163,70663
6/10/1705,02-JUL-90 12.00.00.000000000 AM,Traykin,m,VanderDoes,Salita,0x2c10bf9d0x58217f3a,814435,116114
3/3/1838,30-JAN-09 12.00.00.000000000 AM,Laeken,n,Attinella,Sackett,0x84a32ee0x109465dc,904063,26372
9/19/1526,04-JAN-99 12.00.00.000000000 AM,Whitley,m,Quero,Lael,0x18e667df0x31cccfbe,661362,149411
11/2/2598,22-FEB-12 12.00.00.000000000 AM,Tundra,m,Alvizurez Reyes,Christopher Avery,0x31cc93ca0x63992794,408313,44227
9/12/2407,30-JAN-16 12.00.00.000000000 AM,Rosalynd,m,Navarrette,Tupou Fonua,0x31f59dc90x63eb3b92,531847,144667
11/15/2177,23-JUL-07 12.00.00.000000000 AM,Aimar,n,Cryer,George John,0xc8205ce0x19040b9c,268711,129314
11/23/2074,19-SEP-04 12.00.00.000000000 AM,Kazzandra,m,Gaucin Pulido,Venkata,0x20a0457f0x41408afe,917846,121335
10/3/1623,02-FEB-02 12.00.00.000000000 AM,Thayne,f,Boyle,Kel,0x18fdcc7f0x31fb98fe,304588,49146
2/23/2925,10-JUL-98 12.00.00.000000000 AM,Salad,f,Mentzer,Suzanna,0xac558880x158ab110,960271,100750
2/19/1683,07-SEP-96 12.00.00.000000000 AM,Darianna,f,McGarrity,Eoin,0x3205e3550x640bc6aa,429258,37179
10/21/2233,31-MAR-98 12.00.00.000000000 AM,Kassian,n,Bravo Bautista,Bre,0x1917ed920x322fdb24,810539,21205
10/17/2155,01-MAR-01 12.00.00.000000000 AM,Nykenlee,f,Derogon,David Westley,0x1a00450f0x34008a1e,905904,91061
9/11/1304,24-SEP-07 12.00.00.000000000 AM,Jetta,m,Camara,Antonio Merecce,0x337e5d8c0x66fcbb18,805224,121302
9/27/2564,28-JUL-97 12.00.00.000000000 AM,Mahra,f,Fobian,Margot,0x120513c00x240a2780,708050355,79546
5/17/2244,16-JAN-91 12.00.00.000000000 AM,Lars,f,Marlar,Ann Dawn,0x2bc5beaa0x578b7d54,290012,97863
2/18/2831,31-JAN-04 12.00.00.000000000 AM,Arron,f,Wolz,Eventide,0x1d82ba7c0x3b0574f8,781568,71278
5/20/2983,30-DEC-95 12.00.00.000000000 AM,Varebojie,m,Hurley,James-Walter,0x22aacf3b0x45559e76,616550,41059
7/24/1911,29-AUG-11 12.00.00.000000000 AM,Jeramie,f,Kovrigin,Leonaitasi,0x2e2dd6ce0x5c5bad9c,389206,145853
1/25/2685,12-SEP-05 12.00.00.000000000 AM,Kahaan,n,Beckner,Bevan,0x212e03ee0x425c07dc,436411,2329
9/8/1797,01-JUN-96 12.00.00.000000000 AM,Zayah,m,Westwater,Yekaterina,0xd36ab680x1a6d56d0,942469,113475
2/5/2779,30-OCT-93 12.00.00.000000000 AM,Cecee,f,Rayas-Valle,Gregory,0x2ff9b4f40x5ff369e8,842942,97026
5/19/2288,23-AUG-17 12.00.00.000000000 AM,Patch,m,Pendleton,Dona,0xe6648e20x1ccc91c4,328828,11212
3/20/1812,28-OCT-02 12.00.00.000000000 AM,Juleon,n,Bravo Lopez,Jama,0x2b8595a20x570b2b44,863235,57496
8/7/2611,20-SEP-95 12.00.00.000000000 AM,Carwynn,f,Enos,Luray,0x232c6d950x4658db2a,729085,34418
4/18/1957,13-MAY-10 12.00.00.000000000 AM,Leovanny,n,Vago,Francis-Louise,0x1f88235d0x3f1046ba,567496,135386
8/3/1337,11-DEC-13 12.00.00.000000000 AM,VerolyJean,n,Wilberg,Tariq,0x146ea6780x28dd4cf0,449070,92458
9/24/1441,06-SEP-07 12.00.00.000000000 AM,Zaydi,f,Ntshalintshali,Yeleni,0x37cabd500x6f957aa0,673451,83787
9/4/1496,15-APR-05 12.00.00.000000000 AM,Tracker,m,MacCourtney,Franklin Ray,0x323643120x646c8624,915727,70076
1/15/1534,02-OCT-06 12.00.00.000000000 AM,Traeger,n,Polanco Roman,Seiyee,0x19b886820x33710d04,573047937,68044
1/3/1277,13-SEP-16 12.00.00.000000000 AM,Zaphira,m,Capello,Mateus de Oliveira,0x29f2c25b0x53e584b6,736978,130396
2/2/1481,23-AUG-95 12.00.00.000000000 AM,Khaleya,f,Bedont,Justen,0x35e3dd200x6bc7ba40,448600,25133
8/12/1306,04-JUN-07 12.00.00.000000000 AM,Juliana,f,McQuiston,Alisi,0x2e89d1fc0x5d13a3f8,730726984,29650
11/22/1397,22-AUG-05 12.00.00.000000000 AM,Vihanshi,f,Lybbert,Vaaloa,0x32269dc20x644d3b84,973368,63540
10/22/1563,13-APR-94 12.00.00.000000000 AM,P'Mani,n,Torman,J Ruben,0x21cf26c60x439e4d8c,464810,108531
1/20/1232,25-DEC-01 12.00.00.000000000 AM,Mighya,f,Viereck,Adau Micheal Deng,0x14b340120x29668024,122551793,92881
7/15/1956,02-FEB-05 12.00.00.000000000 AM,Kenedi,f,Estrada Vasquez,Aristotle,0x110c95280x22192a50,303804,26440
11/19/2380,22-FEB-12 12.00.00.000000000 AM,Yanneiry,m,Escalona,David Chet,0x2b6e97500x56dd2ea0,345457,23420
11/1/1825,01-JAN-87 12.00.00.000000000 AM,Brax,m,Lopez Alatorre,Magan,0x2a409b8d0x5481371a,780138,118849
7/6/2109,01-JUN-93 12.00.00.000000000 AM,Geminya,m,Bekker,Janie,0x1c79f09b0x38f3e136,337138,85919
9/4/1296,01-SEP-00 12.00.00.000000000 AM,Blanche,f,Malan,Dax,0x1fa33b3d0x3f46767a,841872,60813
9/15/1787,27-SEP-01 12.00.00.000000000 AM,Ralayah,n,Nolde,Eudora,0x16b4a8b00x2d695160,812170,59184
10/12/2257,26-OCT-98 12.00.00.000000000 AM,Kinslee,n,Moos,Salomon,0x3280f21f0x6501e43e,268646,103634
4/2/2113,22-JUL-04 12.00.00.000000000 AM,Flash,m,Furnell,Dellya,0x31f1a5ff0x63e34bfe,791650,27166
3/17/2589,02-OCT-07 12.00.00.000000000 AM,Cathali,n,Berman,Esther,0x21997ed20x4332fda4,438362,52443
1/27/2559,11-NOV-98 12.00.00.000000000 AM,MaKensie,f,Nacki,Nelle,0x3a04bfeb0x74097fd6,862945,126030
6/27/1618,30-JAN-17 12.00.00.000000000 AM,Alleon,f,Galati,Litia 'O Saione Lavulo,0x7b886370xf710c6e,943122,19470
7/24/2938,20-AUG-05 12.00.00.000000000 AM,Barlow,f,Cardenas Marroquin,Donna,0x2c62c9470x58c5928e,456141,82357
10/5/1676,12-AUG-07 12.00.00.000000000 AM,Almira,f,Gaytan Pantoja,Mathia,0x1babbf480x37577e90,712745,5598
9/15/1257,22-NOV-13 12.00.00.000000000 AM,Princeston,n,Guerrero Nungaray,Douglas Killian,0x8eabe540x11d57ca8,532961,71916
5/17/2987,06-NOV-09 12.00.00.000000000 AM,Eyberlin,f,Ille,Greyeson,0x3b7b2e4f0x76f65c9e,346440,19
6/27/1370,25-SEP-07 12.00.00.000000000 AM,Christianna,f,Thresher,Florencia,0x32f4b4060x65e9680c,822298199,110741
5/26/1303,04-MAY-04 12.00.00.000000000 AM,Norma,n,Padgette,Joseph King,0x1e3061b90x3c60c372,896675,135629
11/19/1993,30-JAN-95 12.00.00.000000000 AM,Millianna,f,Cuadras Soto,Paige Hollis,0x975328c0x12ea6518,987024,93570
4/25/2987,01-SEP-09 12.00.00.000000000 AM,Stefenn,m,Radtke,Mykhailovych,0x20e08d3c0x41c11a78,593490,38870
1/16/1881,28-OCT-02 12.00.00.000000000 AM,Henele,n,Halverson,O'Niel,0xd9d112c0x1b3a2258,563357,139185
5/10/2411,01-JUN-09 12.00.00.000000000 AM,Quinncie,m,Hobbs,Menny,0x22cf8ad20x459f15a4,977486,140186
10/8/1884,06-AUG-02 12.00.00.000000000 AM,Yoselyn,m,Bi'ye,Tarek Nabil Mahmoud,0x9d26d630x13a4dac6,805217,36194
7/22/2333,19-JUN-15 12.00.00.000000000 AM,Wyatt Tuff,n,Jacks,Maylen,0x33ceb1ac0x679d6358,432511017,13910
10/5/1777,20-JUL-99 12.00.00.000000000 AM,Valencia,m,Krishna,Auane 'igalomeatiga,0x37c8c5f20x6f918be4,997523559,71981
11/10/2435,20-JAN-05 12.00.00.000000000 AM,Niklaus,n,Dillender,Saleutogi,0x1e8640b70x3d0c816e,279747,96075
9/7/1856,11-JAN-06 12.00.00.000000000 AM,Grizzly,m,Zmuda,Drynnden Artlet,0x29c263db0x5384c7b6,241394,101404
10/21/2021,25-MAR-14 12.00.00.000000000 AM,Azaleyah,m,Schilling,Abdalla Mohamed,0x1d95a0510x3b2b40a2,400707,125493
9/11/2891,15-DEC-07 12.00.00.000000000 AM,Morena,n,Revell,Mariee Alexis,0x1ed137ca0x3da26f94,685190288,49130
11/27/1560,31-JAN-17 12.00.00.000000000 AM,Maika'i,m,Rhoton,Michio,0xdc470b50x1b88e16a,330400,95753
6/11/2624,11-AUG-16 12.00.00.000000000 AM,BriLee,n,Shirley,Molinari,0x2e955ca30x5d2ab946,434200,18026
4/2/1975,27-SEP-01 12.00.00.000000000 AM,Daniel Chamberlain,m,Guritzky,Quinton Link,0xf85363e0x1f0a6c7c,836026,43470
1/3/2795,30-MAY-01 12.00.00.000000000 AM,Evyenia,f,McStraw,DeRose,0x365591820x6cab2304,470987,117152
11/12/1907,01-APR-99 12.00.00.000000000 AM,Ku Sheen,n,Liebe,Sarantsetseg,0x1a4b33090x34966612,823821,4803
4/23/2628,22-APR-05 12.00.00.000000000 AM,Kyra Vaima,n,Couts,Marleny,0x1863a8900x30c75120,554680,118611
1/15/2803,05-JUL-04 12.00.00.000000000 AM,Lumin,f,Aquino,Anora,0x1d960dec0x3b2c1bd8,941888380,149428
1/22/2809,23-AUG-17 12.00.00.000000000 AM,Brogen,n,Bizimungu,Lee Alizebeth,0x340de4a30x681bc946,408200,136656
2/6/1553,23-AUG-01 12.00.00.000000000 AM,Tupouseini,m,Wardle,Demian,0x2527f23d0x4a4fe47a,692713,134171
4/14/2345,27-SEP-90 12.00.00.000000000 AM,Kennley,n,Kalala,Clasicsa,0x24c7198c0x498e3318,653675,59364
7/3/2579,17-AUG-15 12.00.00.000000000 AM,Rissa,n,Inzunza,Rose Young,0x32e99d080x65d33a10,833127086,141858
4/12/2556,18-AUG-11 12.00.00.000000000 AM,Hayes,n,Maka,Nashlynn,0x1629d88c0x2c53b118,237713231,137719
8/1/2038,06-JUL-96 12.00.00.000000000 AM,Deckslee,n,Argo,Yucelle,0x13cb6cd10x2796d9a2,627178,52598
8/20/2803,05-NOV-98 12.00.00.000000000 AM,Mackson,n,Milinazzo,Hobbes,0x9c2fb470x1385f68e,505740997,112597
11/27/2917,18-AUG-09 12.00.00.000000000 AM,Heathen,m,Sifford,Lanne,0x2913623e0x5226c47c,663453,22842
7/21/2660,30-NOV-00 12.00.00.000000000 AM,Jaizlee,n,Gois,Rebbekah,0x1090faff0x2121f5fe,535085,30096
1/5/1501,19-AUG-98 12.00.00.000000000 AM,Bayne,f,Aguirre Torres,Stepan,0x3137825c0x626f04b8,726853,46600
9/16/1990,12-SEP-05 12.00.00.000000000 AM,Maguire,f,Vazquez Alvarez,Afu,0x918c9700x123192e0,227578,110753
2/3/2337,07-NOV-07 12.00.00.000000000 AM,Quetzali,n,Kuttler,Voltaire,0x6c5d6e00xd8badc0,916385,69881
3/21/1226,30-APR-88 12.00.00.000000000 AM,Paisley,f,Beaver,Ashlyne,0x1183096f0x230612de,505410,8934
3/14/1232,25-DEC-07 12.00.00.000000000 AM,Keyi,f,Eschardies,Wickham,0x2200726e0x4400e4dc,374259,27925
10/8/1806,01-AUG-16 12.00.00.000000000 AM,Nikelle,n,Stanger,Makiahs Abel,0x2bdd34420x57ba6884,506888,115576
2/27/2342,16-NOV-98 12.00.00.000000000 AM,Macksen,n,Maness,Clisbee,0x248b2d850x49165b0a,301109,98749
1/22/2683,27-AUG-12 12.00.00.000000000 AM,Texlee,m,Saligan Campos,Zuko,0x2ce794f70x59cf29ee,877648477,64886
7/13/1494,21-MAR-07 12.00.00.000000000 AM,Nizhoni,f,Kotobalavu,Liam Blue,0x351229ca0x6a245394,366752,31630
3/3/2762,18-AUG-08 12.00.00.000000000 AM,Malina,m,Vanausdal,Daeer,0x22c2d0710x4585a0e2,575163,133076
9/18/2056,25-MAY-06 12.00.00.000000000 AM,Leilany,n,Sedgwick,Bezerra,0x11ee1f340x23dc3e68,453313,9359
6/19/2171,30-DEC-91 12.00.00.000000000 AM,Hafsah,n,Guadron,Luv,0x1d2b7a340x3a56f468,537890,57456
7/21/1817,17-NOV-90 12.00.00.000000000 AM,Carrigan,n,Scarsetto,Rylan,0x3389e4820x6713c904,981886,53550
4/11/2631,07-APR-10 12.00.00.000000000 AM,Talayha,f,Staniforth,Maka Koa Kekoa,0xc2755f10x184eabe2,367015,99691
8/25/1538,05-AUG-10 12.00.00.000000000 AM,Rand,n,Tautaiolefue,Lanay,0x187bc8300x30f79060,232983,69863
1/7/2638,10-JUL-98 12.00.00.000000000 AM,Jaylyn America,m,Boelter,Omera,0x2683f3df0x4d07e7be,448118,77933
8/4/1796,01-JUL-96 12.00.00.000000000 AM,Selina,n,Mariscal Sanchez,Frederiks,0x345e71d20x68bce3a4,236399,121331
9/5/2286,29-AUG-91 12.00.00.000000000 AM,Badal,m,Kober,Grace Keiko,0x73a89910xe751322,621810,147848
4/4/2426,29-JAN-16 12.00.00.000000000 AM,Ena,n,Coats,Zuleyka,0x3358875a0x66b10eb4,250081,140397
9/8/2379,19-MAR-97 12.00.00.000000000 AM,Cicilia,m,Row,Cecilie,0x1b7761ae0x36eec35c,579292,135027
11/26/2888,28-MAY-03 12.00.00.000000000 AM,Atreyu,m,Golish-Celestine,Cathrine,0x2a0b24bf0x5416497e,301304,33079
1/24/1970,25-SEP-06 12.00.00.000000000 AM,Edyn,f,Griffes,Wade Tearly,0x346dae3f0x68db5c7e,491964174,39746
10/18/1335,15-OCT-09 12.00.00.000000000 AM,Zenteya,f,Marquez Potter,Adileni,0x1d88424d0x3b10849a,980158,49445
11/24/2697,18-AUG-03 12.00.00.000000000 AM,Jayme,f,Rouleau,Aryella,0x15130b3b0x2a261676,381754985,128206
4/14/1393,10-JUL-04 12.00.00.000000000 AM,Lincoln Titus,f,Govin,Munk,0x30043a190x60087432,708781,19454
4/15/1323,30-AUG-06 12.00.00.000000000 AM,Cruze,n,Beachy,Luci,0x16e9248c0x2dd24918,571465,23921
8/1/2031,27-AUG-91 12.00.00.000000000 AM,Melodee,f,Valeriano Madaleno,Geleta,0x242a1f830x48543f06,932679,88995
2/27/1234,25-NOV-00 12.00.00.000000000 AM,La Preal,n,Vazquez Eriza,Elihu,0x1f872e0a0x3f0e5c14,450871616,110998
11/27/1653,30-OCT-93 12.00.00.000000000 AM,Damenn,m,Alamos Hernandez Stanley,Debi,0x1348bdba0x26917b74,917272488,115226
2/4/1232,13-OCT-15 12.00.00.000000000 AM,Carson,n,Elquist,Aixa,0x220162c70x4402c58e,894294,123245
5/6/2284,01-SEP-02 12.00.00.000000000 AM,Magenta,n,Benkovskiy,Rosanna,0x31c1ae300x63835c60,853854,6376
7/3/1548,31-JUL-08 12.00.00.000000000 AM,Billy,m,Soto Martinez,Haupert,0x3a0dcbe60x741b97cc,402629,94934
10/12/2110,16-AUG-00 12.00.00.000000000 AM,Sinai,f,Orozco Garcia,Evalati,0x1f69f1fa0x3ed3e3f4,599636,55542
9/9/1773,05-AUG-01 12.00.00.000000000 AM,Jasneet,n,Villalba Velasco,Livona,0x2cb443660x596886cc,528079,30171
5/19/2125,14-FEB-11 12.00.00.000000000 AM,SALMA,n,Andrade Brito,Stuart Yost,0x20bdeabc0x417bd578,609648,131306
10/7/2405,25-AUG-03 12.00.00.000000000 AM,Amaya,m,Rosales Huertero,Lincoln Dan,0x214e4d6f0x429c9ade,150448761,84228
7/12/1565,28-JUL-97 12.00.00.000000000 AM,Saniyah,m,Fluharty,Marine,0x315b97490x62b72e92,854179966,69841
